property_type,state,lat,lon,area_m2,price_usd
house,Tabasco,21.325894,-87.698199,327.4,57945.51
apartment,Guerrero,19.366043,-102.840904,380.3,122728.2
house,Estado de México,17.344147,-92.082018,386.0,222865.2
house,Guerrero,16.63375,-90.134773,232.5,166228.23
house,Nuevo León,25.899602,-99.664766,392.1,76590.91
apartment,Estado de México,18.546407,-100.46191,216.9,148643.88
house,Distrito Federal,23.602279,-103.185769,136.6,72861.48
house,Nuevo León,20.118409,-88.120206,106.9,140367.74
house,Veracruz de Ignacio de la Llave,19.488683,-92.914149,247.8,121359.13
apartment,Querétaro,24.306194,-97.193532,224.6,243091.27
house,Estado de México,25.650269,-93.694039,54.2,204772.45
apartment,Tabasco,17.242972,-104.330718,53.2,47796.2
house,Veracruz de Ignacio de la Llave,25.383405,-89.927929,374.2,213162.42
house,Veracruz de Ignacio de la Llave,17.812331,-95.895865,130.0,106719.68
apartment,Nuevo León,16.664963,-86.657468,272.0,225408.09
apartment,Distrito Federal,23.411206,-97.64478,127.7,207272.3
house,Chiapas,17.397724,-93.306575,305.1,120007.75
house,Estado de México,18.016273,-88.361445,200.0,68185.66
apartment,Nuevo León,17.642658,-102.755332,218.3,291278.06
house,Morelos,24.145747,-105.74785,281.9,218589.59
apartment,Distrito Federal,22.651972,-94.804886,91.5,135828.66
house,Estado de México,24.772005,-88.194839,371.8,113587.11
apartment,Distrito Federal,19.924451,-104.411868,397.6,131703.41
house,Yucatán,24.165994,-91.37007,65.7,243748.73
apartment,Guerrero,20.391349,-102.251761,316.4,249559.89
house,Veracruz de Ignacio de la Llave,19.769444,-88.836459,180.1,210931.43
apartment,Veracruz de Ignacio de la Llave,19.013779,-95.184125,314.0,229469.16
house,Estado de México,23.476094,-91.795144,371.4,215061.9
house,Querétaro,24.995746,-89.567262,175.0,144319.72
apartment,Veracruz de Ignacio de la Llave,19.838912,-96.814696,325.6,127693.59
house,Chiapas,22.24238,-89.435015,175.5,87832.02
apartment,Chiapas,25.398321,-102.524768,134.1,161293.15
house,Guerrero,17.392721,-103.98725,85.6,50834.57
apartment,Querétaro,22.200728,-103.16056,127.3,57308.01
house,Veracruz de Ignacio de la Llave,21.334611,-99.041172,63.6,238136.17
apartment,Estado de México,24.938926,-96.99298,62.6,255482.35
house,Querétaro,23.885972,-91.023473,111.3,268594.18
house,Tabasco,17.516749,-92.977048,353.4,40191.82
house,Yucatán,19.117221,-93.581429,148.9,120926.38
house,Veracruz de Ignacio de la Llave,18.484891,-98.952501,382.7,236903.05
