property_type,state,lat,lon,area_m2,price_usd
apartment,Baja California,21.325894,-87.698199,327.4,"$182,039.40"
house,Baja California,,-95.339423,367.8,"$80,823.09"
house,Durango,19.366043,-102.840904,380.3,"$296,761.68"
house,Michoacán,17.344147,-92.082018,386.0,"$268,039.12"
house,Sonora,16.63375,-90.134773,232.5,"$162,901.22"
apartment,Yucatán,25.899602,-99.664766,392.1,"$113,444.33"
apartment,Estado de México,19.223538,,315.1,"$162,417.83"
apartment,Chihuahua,,-87.877135,106.6,"$54,369.49"
house,Puebla,18.546407,-100.46191,216.9,"$92,808.31"
house,Hidalgo,22.815027,,301.4,"$89,078.41"
house,Tlaxcala,23.602279,-103.185769,136.6,"$172,141.10"
apartment,Guerrero,,-101.959687,274.2,"$30,184.54"
house,Yucatán,,-102.315503,283.3,"$277,831.97"
apartment,Querétaro,20.118409,-88.120206,106.9,"$84,395.38"
apartment,Nuevo León,19.488683,-92.914149,247.8,"$65,232.18"
house,Michoacán,25.295291,,320.1,"$223,573.16"
apartment,Guanajuato,24.306194,-97.193532,224.6,"$278,070.81"
apartment,Quintana Roo,25.650269,-93.694039,54.2,"$257,956.70"
apartment,Coahuila,17.242972,-104.330718,53.2,"$117,368.98"
house,Tamaulipas,23.308675,,175.0,"$35,916.48"
house,Sinaloa,25.383405,-89.927929,374.2,"$188,384.48"
house,Ciudad de México,17.812331,-95.895865,130.0,"$277,650.52"
apartment,Colima,16.664963,-86.657468,272.0,"$239,078.95"
house,Sonora,23.411206,-97.64478,127.7,"$258,549.84"
house,Estado de México,21.744731,,162.6,"$262,380.76"
apartment,Guerrero,24.418288,,346.8,"$289,350.86"
apartment,Tlaxcala,17.397724,-93.306575,305.1,"$130,869.51"
apartment,Hidalgo,23.952673,,83.4,"$284,319.27"
apartment,Coahuila,18.016273,-88.361445,200.0,"$136,810.80"
house,Tlaxcala,17.636559,,60.2,"$57,278.69"
house,Oaxaca,17.642658,-102.755332,218.3,"$111,476.59"
house,Quintana Roo,24.145747,-105.74785,281.9,"$66,841.95"
apartment,Tlaxcala,22.651972,-94.804886,91.5,"$72,526.05"
apartment,Aguascalientes,,-95.452008,151.1,"$286,147.25"
apartment,Colima,,-91.612928,189.2,"$243,797.48"
apartment,Hidalgo,24.772005,-88.194839,371.8,"$289,378.77"
apartment,Baja California Sur,19.924451,-104.411868,397.6,"$205,278.67"
house,San Luis Potosí,24.165994,-91.37007,65.7,"$77,034.72"
apartment,Tabasco,20.391349,-102.251761,316.4,"$291,560.58"
apartment,Chihuahua,19.769444,-88.836459,180.1,"$217,261.31"
house,Ciudad de México,20.626798,,187.4,"$280,788.21"
apartment,Nayarit,19.013779,-95.184125,314.0,"$242,487.78"
house,Aguascalientes,23.476094,-91.795144,371.4,"$90,274.05"
apartment,Coahuila,,-99.712998,382.8,"$189,016.54"
house,Chiapas,18.322127,,252.0,"$77,344.94"
house,Colima,24.995746,-89.567262,175.0,"$112,842.27"
apartment,Quintana Roo,19.838912,-96.814696,325.6,"$215,894.58"
house,Coahuila,21.435529,,137.9,"$64,384.06"
apartment,Durango,25.064721,,247.4,"$226,784.36"
apartment,Colima,22.24238,-89.435015,175.5,"$286,172.79"
apartment,Chihuahua,,-99.295839,279.8,"$286,148.50"
apartment,Durango,25.398321,-102.524768,134.1,"$135,732.39"
apartment,Colima,,,117.1,"$298,456.45"
apartment,Baja California Sur,,-89.480436,371.4,"$290,599.66"
apartment,Michoacán,17.392721,-103.98725,85.6,"$38,743.34"
house,Sinaloa,,,227.1,"$192,644.94"
apartment,Chiapas,22.200728,-103.16056,127.3,"$278,680.32"
apartment,Puebla,21.334611,-99.041172,63.6,"$291,233.56"
house,San Luis Potosí,24.938926,-96.99298,62.6,"$89,641.72"
apartment,Querétaro,23.885972,-91.023473,111.3,"$182,698.57"
apartment,Quintana Roo,17.516749,-92.977048,353.4,"$282,905.70"
house,Estado de México,19.117221,-93.581429,148.9,"$67,973.71"
apartment,Quintana Roo,18.484891,-98.952501,382.7,"$231,242.70"
apartment,Coahuila,23.439463,-89.171049,253.6,"$94,258.90"
apartment,Sonora,16.335324,,202.8,"$295,242.51"
apartment,Tabasco,21.698897,-86.417901,253.0,"$75,329.60"
house,Tamaulipas,23.624587,,230.8,"$269,036.47"
apartment,Colima,24.767656,-103.474705,315.6,"$53,956.02"
apartment,Baja California Sur,19.420817,,148.9,"$221,420.77"
apartment,Aguascalientes,,-99.49792,173.6,"$202,557.73"
apartment,Tlaxcala,17.106317,-92.273456,362.9,"$269,396.45"
apartment,Oaxaca,24.464523,-104.607177,381.3,"$150,590.08"
house,Colima,17.274887,,362.4,"$101,607.36"
house,Morelos,19.972873,-88.885255,196.8,"$97,376.03"
house,Chiapas,23.972954,-101.456409,323.1,"$48,304.59"
house,Chiapas,17.499174,-89.259177,216.7,"$99,297.64"
