property_type,place_with_parent_names,lat-lon,area_m2,price_usd
apartment,|México|Estado de México|City|Neighborhood|,nan,324.7,40058.55
apartment,|México|Nuevo León|City|Neighborhood|,"25.31535,-90.159937",120.0,40058.55
apartment,|México|Morelos|City|Neighborhood|,"21.833329,-99.513727",95.8,40058.55
house,|México|Veracruz de Ignacio de la Llave|City|Neighborhood|,"21.383842,-91.676709",286.5,40058.55
apartment,|México|Distrito Federal|City|Neighborhood|,"20.544827,-103.291623",246.0,40058.55
house,|México|Veracruz de Ignacio de la Llave|City|Neighborhood|,"18.092878,-100.174125",326.4,40058.55
apartment,|México|Veracruz de Ignacio de la Llave|City|Neighborhood|,"16.037197,-103.105787",308.6,40058.55
apartment,|México|Guerrero|City|Neighborhood|,"18.415062,-89.775389",268.8,40058.55
apartment,|México|Morelos|City|Neighborhood|,"21.097232,-101.547015",395.2,40058.55
apartment,|México|Querétaro|City|Neighborhood|,nan,236.8,40058.55
apartment,|México|Distrito Federal|City|Neighborhood|,"20.484852,-87.134032",89.6,40058.55
apartment,|México|Guerrero|City|Neighborhood|,"25.806482,-95.444556",339.9,40058.55
house,|México|Distrito Federal|City|Neighborhood|,"19.502724,-95.199416",138.1,40058.55
house,|México|Guerrero|City|Neighborhood|,"20.521829,-96.779329",322.1,40058.55
house,|México|Distrito Federal|City|Neighborhood|,"17.335156,-99.482197",385.0,40058.55
house,|México|Tabasco|City|Neighborhood|,nan,293.9,40058.55
apartment,|México|Estado de México|City|Neighborhood|,"23.754095,-93.943849",258.6,40058.55
apartment,|México|Guerrero|City|Neighborhood|,nan,211.1,40058.55
house,|México|Chiapas|City|Neighborhood|,"23.607048,-87.244709",177.5,40058.55
house,|México|Veracruz de Ignacio de la Llave|City|Neighborhood|,nan,173.6,40058.55
apartment,|México|Distrito Federal|City|Neighborhood|,"21.718288,-88.217389",272.7,40058.55
apartment,|México|Distrito Federal|City|Neighborhood|,nan,312.9,40058.55
apartment,|México|Nuevo León|City|Neighborhood|,"18.280618,-92.851113",287.5,40058.55
apartment,|México|Morelos|City|Neighborhood|,"16.11526,-88.098666",119.4,40058.55
apartment,|México|Querétaro|City|Neighborhood|,nan,222.9,40058.55
apartment,|México|Querétaro|City|Neighborhood|,"19.092681,-86.76475",327.1,40058.55
house,|México|Guerrero|City|Neighborhood|,"17.168788,-97.684279",216.5,40058.55
house,|México|Nuevo León|City|Neighborhood|,"25.858584,-93.978347",237.8,40058.55
apartment,|México|Yucatán|City|Neighborhood|,nan,319.9,40058.55
